Proxy,Port,Country,Organization,latency
188.245.212.64,2053,DE,Hetzner Online GmbH,900ms
45.62.127.160,10443,US,IT7 Networks Inc,1137ms
86.38.156.60,2053,DE,none,654ms
86.38.156.77,2053,DE,none,760ms
86.38.156.79,2053,DE,none,763ms
86.38.156.6,2053,DE,none,776ms
86.38.156.7,2053,DE,none,775ms
86.38.156.84,2053,DE,none,769ms
86.38.156.24,2053,DE,none,782ms
86.38.156.78,2053,DE,none,778ms
86.38.156.48,2053,DE,none,785ms
86.38.156.35,2053,DE,none,796ms
86.38.156.23,2053,DE,none,802ms
86.38.156.4,2053,DE,none,816ms
45.63.116.117,8443,DE,Vultr Holdings LLC,646ms
45.63.42.198,443,NL,The Constant Company LLC,661ms
86.87.246.36,2053,NL,KPN B.V.,655ms
86.38.156.85,2053,DE,none,673ms
86.87.246.36,8443,NL,KPN B.V.,656ms
86.38.156.71,2053,DE,none,670ms
86.38.156.91,2053,DE,none,674ms
86.38.156.247,2053,DE,none,691ms
87.106.44.217,443,GB,IONOS SE,696ms
87.106.141.152,8443,DE,IONOS SE,698ms
86.38.156.96,2053,DE,none,722ms
87.106.141.152,2053,DE,IONOS SE,731ms
86.38.156.63,2053,DE,none,748ms
86.38.156.99,2053,DE,none,754ms
87.106.65.110,443,GB,IONOS SE,768ms
87.118.67.155,443,DE,Keyweb AG,894ms
45.63.100.255,8443,GB,Vultr Holdings LLC,1274ms
45.63.100.255,2053,GB,Vultr Holdings LLC,1282ms
45.66.218.194,12959,JP,Virtual Machine Solutions LLC,375ms
45.66.129.8,1233,JP,Virtual Machine Solutions LLC,385ms
45.66.218.194,12965,JP,Virtual Machine Solutions LLC,385ms
87.236.177.56,8443,NL,Hosting Provider EuroHoster Ltd.,686ms
87.236.177.56,2053,NL,Hosting Provider EuroHoster Ltd.,688ms
87.121.221.87,443,NL,NL-Network,705ms
87.121.221.82,2053,NL,NL-Network,705ms
87.121.221.64,2053,NL,NL-Network,712ms
87.236.146.124,8080,CZ,SmartApe OU,706ms
87.121.105.2,2053,SE,play2go.cloud - Cheap and reliable hosting,723ms
87.228.13.130,8443,RU,Selectel Network,723ms
87.228.25.176,2053,RU,Selectel Network,725ms
87.228.3.217,443,RU,Selectel Network,735ms
128.140.124.137,2053,DE,Hetzner Online GmbH,743ms
128.140.124.137,8443,DE,Hetzner Online GmbH,770ms
45.67.216.25,443,DE,Contabo GmbH,791ms
45.67.216.25,8443,DE,Contabo GmbH,800ms
87.107.54.78,4343,IR,Pars_Shabakeh_Azarakhsh,1083ms
45.76.111.190,443,JP,Vultr Holdings LLC,469ms
45.67.231.202,8443,NL,WorkTitans B.V.,714ms
45.67.231.202,2053,NL,WorkTitans B.V.,723ms
45.67.231.117,2053,NL,WorkTitans B.V.,728ms
45.67.228.149,2053,NL,WorkTitans B.V.,741ms
45.67.90.125,12016,BG,UltraNET Ltd,743ms
45.67.34.89,443,RO,WorkTitans B.V.,777ms
45.67.34.89,8443,RO,WorkTitans B.V.,790ms
45.67.57.249,8443,RU,Beget LLC,858ms
45.76.12.227,443,US,Vultr Holdings LLC,857ms
45.74.81.2,443,US,Hotwire Fision,917ms
45.67.34.153,443,RO,WorkTitans B.V.,1304ms
45.67.34.74,2053,RO,WorkTitans B.V.,1701ms
45.76.179.81,443,SG,Vultr Holdings LLC,154ms
45.76.157.34,443,SG,Vultr Holdings LLC,170ms
45.76.198.248,443,JP,Vultr Holdings LLC,374ms
45.76.192.129,24434,JP,Vultr Holdings LLC,384ms
45.76.95.89,8443,DE,The Constant Company LLC.,670ms
45.77.137.3,8443,NL,Vultr Holdings LLC,674ms
45.76.143.208,443,GB,Vultr Holdings LLC,708ms
45.76.143.208,10000,GB,Vultr Holdings LLC,709ms
45.76.80.253,8443,DE,Vultr Holdings LLC,1375ms
45.76.143.208,20000,GB,Vultr Holdings LLC,2431ms
128.140.5.0,2095,DE,Hetzner Online GmbH,846ms
45.77.9.114,443,JP,Vultr Holdings LLC,491ms
45.78.27.245,8003,KR,Oracle Public Cloud,501ms
188.245.229.115,28443,DE,Hetzner Online GmbH,830ms
188.245.229.154,8443,DE,Hetzner Online GmbH,847ms
188.245.231.113,2087,DE,Hetzner Online GmbH,947ms
188.245.231.113,2096,DE,Hetzner Online GmbH,981ms
45.77.62.84,8443,FR,Vultr Holdings LLC,755ms
45.77.52.102,8443,DE,Vultr Holdings LLC,771ms
188.245.230.218,7788,DE,Hetzner Online GmbH,1019ms
45.77.55.86,8443,DE,Vultr Holdings LLC,841ms
45.77.64.28,8443,DE,Vultr Holdings LLC,867ms
45.77.4.176,36983,US,Vultr Holdings LLC,1074ms
45.77.111.6,443,US,Vultr Holdings LLC,1093ms
87.239.250.119,2053,FI,FIRST SERVER LIMITED,685ms
87.239.250.229,8443,FI,FIRST SERVER LIMITED,687ms
87.239.250.119,8443,FI,FIRST SERVER LIMITED,705ms
45.8.145.40,2053,NL,WorkTitans B.V.,657ms
87.239.250.229,2053,FI,FIRST SERVER LIMITED,702ms
87.239.251.30,8443,FI,FIRST SERVER LIMITED,710ms
87.239.251.30,2053,FI,FIRST SERVER LIMITED,717ms
87.251.87.107,443,DE,nuxt.cloud hosting provider,709ms
87.239.250.244,8443,FI,FIRST SERVER LIMITED,738ms
87.239.250.244,2053,FI,FIRST SERVER LIMITED,759ms
87.239.250.252,443,FI,FIRST SERVER LIMITED,797ms
45.8.132.142,8443,DE,Contabo GmbH,764ms
45.8.132.142,443,DE,Contabo GmbH,792ms
87.239.250.142,443,FI,FIRST SERVER LIMITED,822ms
87.242.85.92,443,FI,PSERVERS Enterprise Network,928ms
87.98.235.174,2053,FR,OVH SAS,635ms
87.98.188.38,8443,FR,OVH SAS,649ms
87.98.235.174,8443,FR,OVH SAS,647ms
87.98.237.23,2053,FR,OVH SAS,651ms
87.98.235.90,8443,FR,OVH SAS,662ms
87.98.237.23,8443,FR,OVH SAS,670ms
45.8.145.57,2053,NL,WorkTitans B.V.,644ms
87.251.87.124,443,DE,nuxt.cloud hosting provider,699ms
87.98.235.90,2053,FR,OVH SAS,686ms
87.98.186.22,8443,FR,OVH SAS,705ms
87.98.185.213,8443,FR,OVH SAS,711ms
87.98.186.22,4050,FR,OVH SAS,713ms
87.251.88.57,443,DE,Cloud Hosting Solutions Limited.,733ms
87.98.175.43,2087,FR,OVH SAS,730ms
87.251.88.36,443,DE,Cloud Hosting Solutions Limited.,793ms
87.98.185.213,4050,FR,OVH SAS,783ms
45.8.157.146,2053,US,NKtelecom Inc,754ms
87.251.87.157,443,DE,nuxt.cloud hosting provider,809ms
45.8.157.146,8443,US,NKtelecom Inc,776ms
45.8.157.110,8443,US,NKtelecom Inc,780ms
45.8.157.110,2053,US,NKtelecom Inc,888ms
45.8.146.42,2053,US,WorkTitans B.V.,905ms
45.8.146.189,8443,US,WorkTitans B.V.,927ms
45.8.146.42,8443,US,WorkTitans B.V.,928ms
45.8.146.189,2053,US,WorkTitans B.V.,941ms
45.80.208.124,8443,KZ,G-Core Labs Customer assignment,925ms
128.140.5.0,110,DE,Hetzner Online GmbH,741ms
45.80.208.211,8443,KZ,G-Core Labs Customer assignment,987ms
45.8.98.82,8443,KZ,JSC TIMEWEB,1307ms
88.119.165.71,8443,LT,Informacines sistemos ir technologijos UAB,702ms
88.198.13.253,443,DE,Hetzner Online AG,828ms
45.82.252.110,2053,HK,WorkTitans B.V.,262ms
128.140.8.129,50121,DE,Hetzner Online GmbH,733ms
128.140.8.129,50001,DE,Hetzner Online GmbH,745ms
128.140.71.144,443,DE,Hetzner Online GmbH,771ms
45.81.227.140,2053,NL,Podaon SIA,728ms
45.80.210.82,8443,LU,G-Core Labs Customer assignment,738ms
45.80.209.48,443,LU,G-Core Labs Customer assignment,749ms
45.80.209.166,8443,LU,G-Core Labs Customer assignment,745ms
45.82.176.46,443,NL,Podaon SIA,769ms
45.82.176.82,8443,NL,Podaon SIA,766ms
45.81.227.140,8443,NL,Podaon SIA,801ms
45.80.215.151,443,FR,G-Core Labs Customer assignment,816ms
45.80.215.65,443,FR,G-Core Labs Customer assignment,821ms
45.82.177.143,2053,NL,Podaon SIA,808ms
45.82.177.143,8443,NL,Podaon SIA,810ms
45.82.176.82,2053,NL,Podaon SIA,817ms
45.81.243.134,443,FR,Neterra Ltd.,862ms
88.198.18.246,8443,DE,HOS-512604,666ms
45.82.246.164,2053,KR,WorkTitans B.V.,1009ms
45.80.208.80,443,KZ,G-Core Labs Customer assignment,1060ms
45.82.15.177,587,DE,Dmitry Vorozhtsov,1095ms
45.8.98.82,2053,KZ,JSC TIMEWEB,1255ms
45.80.208.126,8081,KZ,G-Core Labs Customer assignment,1301ms
88.210.11.164,22285,NL,Amsterdam Netherlands,699ms
88.210.11.67,443,NL,Amsterdam Netherlands,709ms
88.210.11.164,22284,NL,Amsterdam Netherlands,714ms
88.210.9.239,443,NL,Cloudflare London LLC,728ms
88.210.13.172,2053,NL,Amsterdam Netherlands,746ms
88.210.12.40,443,NL,Amsterdam Netherlands,754ms
45.82.254.57,443,CH,WorkTitans B.V.,622ms
128.140.8.129,50000,DE,Hetzner Online GmbH,818ms
88.210.6.236,8443,NL,SERVERS TECH FZCO,760ms
88.210.6.236,2053,NL,SERVERS TECH FZCO,771ms
45.82.68.144,8443,NL,Podaon SIA,622ms
45.82.68.144,2053,NL,Podaon SIA,640ms
88.210.14.192,8443,NL,Amsterdam Netherlands,796ms
88.198.203.79,8443,DE,Hetzner Online GmbH,864ms
45.82.255.214,8443,PL,WorkTitans B.V.,715ms
45.82.255.38,8443,PL,WorkTitans B.V.,712ms
88.210.37.244,8443,US,Melbikomas UAB,855ms
188.245.239.46,2053,DE,Hetzner Online GmbH,825ms
45.82.255.214,2053,PL,WorkTitans B.V.,732ms
45.82.255.49,8443,PL,WorkTitans B.V.,735ms
88.210.13.172,8443,NL,Amsterdam Netherlands,895ms
45.82.255.38,2053,PL,WorkTitans B.V.,750ms
45.83.107.239,8443,DE,netcup GmbH,750ms
45.82.255.49,2053,PL,WorkTitans B.V.,766ms
45.82.255.87,2053,PL,WorkTitans B.V.,768ms
45.82.255.27,24816,PL,WorkTitans B.V.,780ms
45.82.255.27,17327,PL,WorkTitans B.V.,799ms
45.82.80.122,443,SE,Internetport Sweden AB,791ms
45.82.255.87,8443,PL,WorkTitans B.V.,846ms
45.83.20.155,8443,BE,WorkTitans B.V.,659ms
188.245.239.46,8443,DE,Hetzner Online GmbH,818ms
188.245.242.229,443,DE,Hetzner Online GmbH,857ms
45.83.140.133,8443,US,WorkTitans B.V.,795ms
45.83.140.133,2053,US,WorkTitans B.V.,800ms
45.83.142.46,8000,PT,WorkTitans B.V.,816ms
45.83.142.35,2053,PT,WorkTitans B.V.,822ms
45.83.140.205,443,US,WorkTitans B.V.,849ms
45.83.21.214,8443,IS,WorkTitans B.V.,862ms
45.83.21.214,2053,IS,WorkTitans B.V.,883ms
45.83.143.225,2053,AM,WorkTitans B.V.,893ms
45.83.20.29,443,BE,WorkTitans B.V.,1657ms
45.82.80.96,443,SE,Internetport Sweden AB,1715ms
45.82.80.92,443,SE,Internetport Sweden AB,1731ms
45.83.129.40,2053,DE,WorkTitans B.V.,1788ms
45.83.20.155,2053,BE,WorkTitans B.V.,1840ms
128.140.91.58,2096,DE,Hetzner Online GmbH,842ms
128.140.96.122,443,DE,Hetzner Online GmbH,862ms
45.85.93.160,443,CH,SERVA ONE LTD,622ms
45.85.93.243,2053,CH,SERVA ONE LTD,618ms
128.199.237.143,443,SG,DigitalOcean LLC,159ms
45.85.93.243,8443,CH,SERVA ONE LTD,644ms
45.83.107.239,2053,DE,netcup GmbH,699ms
45.84.88.7,2053,FR,HOST TELECOM LTD,729ms
45.84.88.198,2053,FR,HOST TELECOM LTD,747ms
45.84.88.54,8080,FR,as56971 network,754ms
45.84.88.7,8443,FR,HOST TELECOM LTD,761ms
45.84.88.198,8443,FR,HOST TELECOM LTD,760ms
45.84.138.237,8443,DE,Contabo GmbH,830ms
45.84.138.237,443,DE,Contabo GmbH,839ms
45.84.1.31,2053,RU,UFO Hosting LLC,853ms
45.83.21.10,2053,IS,WorkTitans B.V.,912ms
45.83.21.13,2053,IS,WorkTitans B.V.,911ms
45.83.21.13,443,IS,WorkTitans B.V.,926ms
128.199.42.27,8443,NL,DigitalOcean LLC,679ms
128.199.42.27,2053,NL,DigitalOcean LLC,683ms
128.199.53.90,8443,NL,DigitalOcean LLC,740ms
128.199.53.90,2053,NL,DigitalOcean LLC,742ms
128.199.0.28,443,US,DigitalOcean LLC,757ms
88.218.94.37,8443,NL,FAST GEO HOSTING S.R.L.,624ms
88.218.76.250,2053,FR,RACKNERD-FR,656ms
88.218.76.189,2053,FR,RACKNERD-FR,673ms
88.218.76.189,8443,FR,RACKNERD-FR,687ms
88.218.78.95,2053,FR,RACKNERD-FR,687ms
88.218.77.42,8443,FR,RACKNERD-FR,695ms
88.210.37.244,2053,US,Melbikomas UAB,747ms
88.218.78.205,8443,FR,RACKNERD-FR,738ms
88.218.78.236,8080,FR,RACKNERD-FR,750ms
88.218.78.153,443,FR,RACKNERD-FR,759ms
88.218.78.162,8443,FR,RACKNERD-FR,761ms
88.218.76.250,8443,FR,RACKNERD-FR,787ms
188.245.253.251,8443,DE,Hetzner Online GmbH,811ms
188.245.253.248,8443,DE,Cloudflare London LLC,816ms
188.245.46.127,2053,DE,Hetzner Online GmbH,819ms
188.245.46.127,8443,DE,Hetzner Online GmbH,824ms
129.150.35.29,587,SG,Oracle Corporation,150ms
129.150.50.21,44009,SG,Oracle Corporation,163ms
129.150.54.20,13666,SG,Cloudflare London LLC,179ms
188.245.52.82,2053,DE,Hetzner Online GmbH,640ms
188.245.58.100,2053,DE,Hetzner Online GmbH,702ms
188.245.60.65,443,DE,Hetzner Online GmbH,765ms
129.151.128.114,34834,AE,Oracle Corporation,412ms
88.218.94.37,2053,NL,FAST GEO HOSTING S.R.L.,645ms
88.218.78.205,2053,FR,RACKNERD-FR,664ms
88.218.79.147,443,FR,RACKNERD-FR,680ms
88.218.78.34,443,FR,RACKNERD-FR,698ms
88.218.79.220,443,FR,RackNerd LLC,702ms
88.218.78.95,8443,FR,RACKNERD-FR,723ms
88.99.125.125,8443,DE,Hetzner Online GmbH,750ms
88.218.78.57,443,FR,RACKNERD-FR,772ms
88.218.77.42,2053,FR,RACKNERD-FR,773ms
129.146.226.222,587,US,Oracle Corporation,929ms
88.85.98.178,8443,MK,NEOTEL INTERNET CUSTOMERS,816ms
129.146.22.121,41913,US,Oracle Corporation,996ms
188.245.54.211,443,DE,Hetzner Online GmbH,657ms
188.245.73.74,2082,DE,Hetzner Online GmbH,652ms
188.245.73.74,2052,DE,Hetzner Online GmbH,664ms
188.245.66.79,2053,DE,Hetzner Online GmbH,702ms
188.245.66.87,2053,DE,Hetzner Online GmbH,782ms
88.99.165.133,9443,DE,Hetzner Online GmbH,763ms
88.99.184.237,2087,DE,Hetzner Online GmbH,772ms
188.245.73.74,443,DE,Hetzner Online GmbH,740ms
188.245.73.74,2087,DE,Hetzner Online GmbH,744ms
188.245.73.74,8080,DE,Hetzner Online GmbH,745ms
188.245.73.74,2096,DE,Hetzner Online GmbH,750ms
188.245.73.74,8443,DE,Hetzner Online GmbH,750ms
188.245.73.74,2053,DE,Hetzner Online GmbH,767ms
188.245.73.74,2083,DE,Hetzner Online GmbH,779ms
188.245.73.74,8880,DE,Hetzner Online GmbH,783ms
188.245.76.63,2053,DE,Hetzner Online GmbH,855ms
88.99.60.34,2053,DE,Hetzner Online GmbH,707ms
88.99.252.146,443,DE,Hetzner Online GmbH,727ms
45.85.93.83,443,CH,SERVA ONE LTD,606ms
45.87.154.19,2053,NL,WorkTitans B.V.,682ms
45.87.2.60,8443,NL,Podaon SIA,684ms
45.87.154.19,8443,NL,WorkTitans B.V.,715ms
45.87.107.64,443,NL,Serverio technologijos MB,733ms
45.87.121.7,443,NL,New Hosting Technologies LLC,739ms
45.86.86.53,443,MD,ALEXHOST SRL,773ms
188.245.74.27,44918,DE,Hetzner Online GmbH,713ms
188.245.73.74,2086,DE,Hetzner Online GmbH,725ms
45.86.181.213,2053,RU,Anton Rashitovich Khalikov,851ms
45.86.181.213,8443,RU,Anton Rashitovich Khalikov,864ms
45.87.2.60,2053,NL,Podaon SIA,856ms
188.245.76.63,8443,DE,Hetzner Online GmbH,795ms
89.105.198.222,8443,NL,Ipportunities,618ms
89.105.198.139,8443,NL,Home Page Unlimited B.V.,621ms
89.105.198.222,2053,NL,Ipportunities,638ms
89.105.198.139,2053,NL,Home Page Unlimited B.V.,637ms
89.105.198.54,2053,NL,Skyberate Internet Services,635ms
89.105.198.55,8443,NL,Skyberate Internet Services,638ms
89.105.198.55,2053,NL,Skyberate Internet Services,656ms
89.105.198.246,8443,NL,Ipportunities,664ms
89.105.198.246,2053,NL,Ipportunities,679ms
89.105.201.14,2053,NL,NovoServe B.V.,681ms
88.99.36.166,8443,DE,Hetzner Online GmbH,726ms
88.99.184.237,2053,DE,Hetzner Online GmbH,754ms
89.110.100.110,443,NL,Amsterdam Netherlands,655ms
89.110.100.76,8443,NL,Amsterdam Netherlands,662ms
89.105.201.66,2053,NL,NovoServe B.V.,692ms
89.105.201.66,8443,NL,NovoServe B.V.,701ms
89.105.223.86,8443,NL,NovoServe B.V.,689ms
89.105.198.57,8443,NL,Skyberate Internet Services,723ms
89.105.223.86,2053,NL,NovoServe B.V.,710ms
89.105.198.54,8443,NL,Skyberate Internet Services,741ms
89.105.223.93,2053,NL,NovoServe B.V.,740ms
89.105.198.57,2053,NL,Skyberate Internet Services,752ms
89.105.201.14,8443,NL,NovoServe B.V.,773ms
89.105.223.63,8443,NL,NovoServe B.V.,770ms
89.105.223.93,8443,NL,NovoServe B.V.,770ms
89.107.10.70,2053,DE,Cloud Hosting Solutions Limited.,772ms
89.105.223.63,2053,NL,NovoServe B.V.,788ms
89.107.10.70,8443,DE,Cloud Hosting Solutions Limited.,813ms
89.110.101.148,8443,NL,Amsterdam Netherlands,607ms
89.110.101.148,2053,NL,Amsterdam Netherlands,624ms
89.110.101.199,8443,NL,Amsterdam Netherlands,623ms
89.110.100.76,2053,NL,Amsterdam Netherlands,645ms
89.110.101.155,2053,NL,Amsterdam Netherlands,638ms
129.151.128.105,16731,AE,Oracle Corporation,424ms
89.110.101.155,8443,NL,Amsterdam Netherlands,658ms
89.110.101.13,2053,NL,Amsterdam Netherlands,670ms
89.110.103.15,8443,NL,Amsterdam Netherlands,666ms
89.110.101.13,8443,NL,Amsterdam Netherlands,687ms
89.110.101.199,2053,NL,Amsterdam Netherlands,682ms
89.110.102.83,8443,NL,Amsterdam Netherlands,681ms
89.110.101.57,8443,NL,Amsterdam Netherlands,696ms
89.110.101.122,8443,NL,Amsterdam Netherlands,716ms
89.110.103.15,2053,NL,Amsterdam Netherlands,703ms
89.110.101.57,2053,NL,Amsterdam Netherlands,718ms
89.110.102.169,2053,NL,Amsterdam Netherlands,730ms
89.110.102.83,2053,NL,Amsterdam Netherlands,735ms
89.110.102.169,8443,NL,Amsterdam Netherlands,738ms
89.110.101.119,2053,NL,Amsterdam Netherlands,763ms
89.110.101.119,8443,NL,Amsterdam Netherlands,786ms
129.154.212.17,20180,KR,Oracle Corporation,630ms
129.151.245.82,587,FR,Oracle Corporation,690ms
129.151.198.3,2053,SE,Oracle Corporation,722ms
129.152.9.195,8080,IT,Oracle Corporation,722ms
129.151.207.10,10003,SE,Oracle Corporation,744ms
89.110.103.245,2053,NL,Amsterdam Netherlands,584ms
89.110.103.245,8443,NL,Amsterdam Netherlands,589ms
89.110.102.19,443,NL,Amsterdam Netherlands,603ms
129.151.104.245,8443,CL,Oracle Corporation,1178ms
89.110.104.192,443,NL,Amsterdam Netherlands,607ms
89.110.106.149,2053,NL,Amsterdam Netherlands,610ms
89.110.106.149,8443,NL,Amsterdam Netherlands,620ms
89.110.103.219,2053,NL,Amsterdam Netherlands,631ms
89.110.103.202,8443,NL,Amsterdam Netherlands,640ms
89.110.106.137,2053,NL,Amsterdam Netherlands,640ms
89.110.106.170,8443,NL,Amsterdam Netherlands,647ms
89.110.105.81,8443,NL,Amsterdam Netherlands,682ms
89.110.103.202,2053,NL,Amsterdam Netherlands,692ms
89.110.106.137,8443,NL,Amsterdam Netherlands,690ms
89.110.104.252,2053,NL,Amsterdam Netherlands,707ms
89.110.106.165,2053,NL,Amsterdam Netherlands,702ms
89.110.104.252,8443,NL,Amsterdam Netherlands,710ms
89.110.103.179,8443,NL,Amsterdam Netherlands,741ms
89.110.103.179,2053,NL,Amsterdam Netherlands,741ms
129.159.129.107,2053,IL,Oracle Corporation,717ms
129.159.143.171,2053,IL,Oracle Corporation,723ms
129.159.132.0,8443,IL,Oracle Corporation,738ms
129.159.132.0,2053,IL,Oracle Corporation,759ms
129.159.143.171,8443,IL,Oracle Corporation,764ms
129.213.136.180,443,US,Oracle Corporation,797ms
89.110.106.165,8443,NL,Amsterdam Netherlands,675ms
89.110.106.74,8443,NL,Amsterdam Netherlands,673ms
89.110.107.69,443,NL,Amsterdam Netherlands,671ms
89.110.107.219,50003,NL,Amsterdam Netherlands,679ms
89.110.106.199,2053,NL,Amsterdam Netherlands,704ms
89.110.106.199,8443,NL,Amsterdam Netherlands,715ms
89.110.108.128,443,NL,Amsterdam Netherlands,709ms
45.87.121.118,587,NL,New Hosting Technologies LLC,752ms
45.88.188.140,8443,DE,Contabo GmbH,801ms
129.154.57.220,50050,KR,Oracle Corporation,1084ms
45.88.188.140,2053,DE,Contabo GmbH,826ms
89.110.106.74,2053,NL,Amsterdam Netherlands,933ms
89.110.106.37,2053,NL,Amsterdam Netherlands,1173ms
89.110.106.32,2053,NL,Amsterdam Netherlands,1178ms
89.110.106.170,2053,NL,Amsterdam Netherlands,1190ms
89.110.105.148,443,NL,Amsterdam Netherlands,1635ms
89.110.108.206,8443,NL,Amsterdam Netherlands,1614ms
89.110.107.98,2053,NL,Amsterdam Netherlands,1644ms
89.110.108.182,8443,NL,Amsterdam Netherlands,1643ms
45.87.154.143,2053,NL,WorkTitans B.V.,1671ms
89.110.106.37,8443,NL,Amsterdam Netherlands,1674ms
89.110.108.182,2053,NL,Amsterdam Netherlands,1661ms
89.110.106.32,8443,NL,Amsterdam Netherlands,1689ms
89.110.107.98,8443,NL,Amsterdam Netherlands,1701ms
129.159.129.107,8443,IL,Oracle Corporation,2007ms
129.159.84.71,443,US,Oracle Corporation,2200ms
188.245.84.85,2096,DE,Hetzner Online GmbH,758ms
188.245.85.151,443,DE,Hetzner Online GmbH,768ms
188.245.88.114,34478,DE,Hetzner Online GmbH,786ms
188.245.96.223,2087,DE,Hetzner Online GmbH,737ms
45.87.121.6,587,NL,New Hosting Technologies LLC,757ms
89.110.108.206,2053,NL,Amsterdam Netherlands,3880ms
89.110.109.126,8443,NL,Amsterdam Netherlands,599ms
89.110.110.225,8443,NL,Amsterdam Netherlands,602ms
89.110.110.225,443,NL,Amsterdam Netherlands,603ms
89.110.109.192,8443,NL,Amsterdam Netherlands,617ms
89.110.109.192,2053,NL,Amsterdam Netherlands,641ms
89.110.109.248,2053,NL,Amsterdam Netherlands,643ms
89.110.109.248,8443,NL,Amsterdam Netherlands,646ms
89.110.109.91,2053,NL,Amsterdam Netherlands,647ms
89.110.110.167,8443,NL,Amsterdam Netherlands,649ms
89.110.109.91,8443,NL,Amsterdam Netherlands,665ms
89.110.109.163,8443,NL,Amsterdam Netherlands,681ms
89.110.109.163,2053,NL,Amsterdam Netherlands,691ms
89.110.110.157,443,NL,Amsterdam Netherlands,684ms
89.110.110.167,2053,NL,Amsterdam Netherlands,693ms
89.110.110.110,8443,NL,Amsterdam Netherlands,713ms
89.110.109.126,2053,NL,Amsterdam Netherlands,730ms
89.110.109.219,443,NL,Amsterdam Netherlands,725ms
89.110.110.110,2053,NL,Amsterdam Netherlands,726ms
13.250.131.37,443,SG,Amazon Data Services Singapore,239ms
13.230.34.30,443,JP,Amazon Data Services Japan,488ms
13.43.173.97,8080,GB,Amazon Data Services Ireland Ltd,728ms
13.43.173.97,8443,GB,Amazon Data Services Ireland Ltd,735ms
13.48.164.207,8081,SE,Amazon Data Services Sweden,805ms
13.48.175.183,2053,SE,Amazon Data Services Sweden,830ms
188.253.19.222,8443,LV,SIA VEESP,650ms
188.253.19.222,2053,LV,SIA VEESP,662ms
188.253.19.248,2053,LV,SIA VEESP,675ms
188.253.16.28,8443,LV,SIA VEESP,686ms
188.253.19.91,443,LV,SIA VEESP,689ms
188.253.16.102,443,LV,SIA VEESP,705ms
188.253.20.184,443,LV,SIA VEESP,701ms
188.253.16.220,8443,LV,SIA VEESP,755ms
188.253.16.238,2053,LV,SIA VEESP,759ms
188.253.19.248,8443,LV,SIA VEESP,756ms
188.253.24.161,2053,NL,SIA VEESP,596ms
188.253.24.169,80,NL,SIA VEESP,598ms
188.253.24.229,2053,NL,SIA VEESP,620ms
188.253.24.229,8443,NL,SIA VEESP,625ms
188.253.24.161,8443,NL,SIA VEESP,646ms
188.253.23.162,443,LV,SIA VEESP,691ms
188.253.22.219,8443,LV,SIA VEESP,703ms
188.253.16.238,8443,LV,SIA VEESP,713ms
188.253.22.45,9443,LV,SIA VEESP,729ms
188.253.23.21,443,LV,SIA VEESP,759ms
188.253.16.216,8443,LV,SIA VEESP,788ms
188.253.6.53,25884,TW,Akari Networks (Taipei),299ms
188.253.24.5,8443,NL,SIA VEESP,601ms
188.253.24.77,8184,NL,SIA VEESP,608ms
188.253.26.76,443,NL,SIA VEESP,615ms
188.253.26.212,443,NL,SIA VEESP,622ms
188.253.27.116,443,NL,SIA VEESP,635ms
188.253.26.143,443,NL,SIA VEESP,638ms
89.110.110.9,2053,NL,Amsterdam Netherlands,598ms
188.253.26.206,443,NL,SIA VEESP,683ms
89.110.110.9,8443,NL,Amsterdam Netherlands,615ms
89.110.111.103,2053,NL,Amsterdam Netherlands,621ms
89.110.111.178,8443,NL,Amsterdam Netherlands,623ms
89.110.111.27,8443,NL,Amsterdam Netherlands,624ms
188.253.22.38,8443,LV,SIA VEESP,720ms
89.110.112.54,443,NL,Amsterdam Netherlands,627ms
89.110.112.106,443,NL,Amsterdam Netherlands,645ms
89.110.112.238,8443,NL,Amsterdam Netherlands,647ms
89.110.112.211,443,NL,Amsterdam Netherlands,663ms
89.110.112.211,8443,NL,Amsterdam Netherlands,673ms
89.110.112.238,2053,NL,Amsterdam Netherlands,689ms
89.110.112.154,2053,NL,Amsterdam Netherlands,700ms
89.110.112.225,8443,NL,Amsterdam Netherlands,697ms
89.110.112.154,8443,NL,Amsterdam Netherlands,710ms
89.110.111.178,2053,NL,Amsterdam Netherlands,833ms
89.110.112.225,2053,NL,Amsterdam Netherlands,814ms
188.34.160.97,2053,DE,Hetzner Online GmbH,702ms
89.110.113.132,8443,NL,Amsterdam Netherlands,601ms
89.110.113.132,443,NL,Amsterdam Netherlands,616ms
188.34.160.97,8443,DE,Hetzner Online GmbH,745ms
89.110.112.8,8443,NL,Amsterdam Netherlands,630ms
89.110.112.8,2053,NL,Amsterdam Netherlands,646ms
89.110.115.110,8443,NL,SERVERS TECH FZCO,635ms
89.110.113.56,2053,NL,Amsterdam Netherlands,653ms
89.110.113.56,8443,NL,Amsterdam Netherlands,675ms
89.110.116.141,443,NL,Amsterdam Netherlands,667ms
89.110.116.183,8443,NL,Amsterdam Netherlands,675ms
89.110.115.128,2053,NL,Amsterdam Netherlands,700ms
89.110.115.200,8443,NL,Amsterdam Netherlands,985ms
89.110.115.128,8443,NL,Amsterdam Netherlands,1129ms
89.110.112.62,2053,NL,Amsterdam Netherlands,1208ms
188.34.181.137,2053,DE,Hetzner Online GmbH,756ms
188.34.182.27,456,DE,Hetzner Online GmbH,818ms
